Fecha,Activo,Señal_ML_Bloqueada,Motivo_Veto,Precio_Evitado,Nivel_RSI,Nivel_EMA50
2026-05-21 18:34:26,EURUSD=X,SELL,Veto Técnico Bajista,1.16212,52.67,1.16183
2026-05-21 19:07:54,EURUSD=X,SELL,Precio sobre EMA y Pendiente Alcista,1.16212,53.06,1.1618
2026-05-22 09:24:39,BTC-USD,BUY,Veto Técnico Alcista,77314.39062,47.58,77381.62094
2026-05-22 09:24:57,GBPUSD=X,SELL,Veto Técnico Bajista,1.34457,62.9,1.34238
2026-05-22 09:36:27,BTC-USD,BUY,Veto Técnico Alcista,77144.60938,43.53,77374.96285
2026-05-22 09:36:42,^GSPC,BUY,Veto Técnico Alcista,7490.29004,67.15,7407.55233
2026-05-22 09:36:51,^DJI,BUY,Veto Técnico Alcista,50572.80078,72.23,49817.56118
2026-05-22 09:37:01,NVDA,BUY,Veto Técnico Alcista,219.94051,43.71,221.72624
2026-05-22 10:01:07,BTC-USD,BUY,Veto Técnico Alcista (RSI/BB/MACD),77079.86719,41.98,77365.32823
2026-05-22 10:01:09,^GSPC,BUY,Veto Técnico Alcista (RSI/BB/MACD),7485.49023,66.42,7407.36411
2026-05-22 15:22:34,NVDA,BUY,Veto Técnico Alcista (RSI/BB/MACD),215.27,36.55,220.73663
2026-05-22 15:49:36,BTC-USD,BUY,Veto Técnico Alcista (RSI/BB/MACD),75613.54688,23.85,77183.41965
2026-05-22 15:57:34,BTC-USD,BUY,Veto Técnico Alcista (RSI/BB/MACD),75775.99219,25.23,77189.79006
